CHEM_ID,CVHS-00001,CVHS-00002,CVHS-00003,CVHS-00006,CVHS-00007,CVHS-00008,CVHS-00009,CVHS-00010,CVHS-00011,CVHS-00012,CVHS-00014,CVHS-00018,CVHS-00023,CVHS-00024,CVHS-00025,CVHS-00027,CVHS-00028,CVHS-00029,CVHS-00030,CVHS-00031,CVHS-00034,CVHS-00035,CVHS-00039,CVHS-00040
114,0.566118109,0.973881266,-0.08596866,-1.06915729,-1.06915729,-0.586155269,0.361163281,0.11080144,-1.06915729,-1.06915729,0.334829322,-1.06915729,0.594784375,0.246670925,0.194049048,-1.06915729,-1.06915729,-0.941422384,0,-1.06915729,0.481838309,-0.421344373,-1.06915729,-1.06915729
136,-1.33079437,0.249612094,-1.161618847,1.552807457,2.233834574,1.316685007,-2.40152105,-2.301600353,1.244208931,0.987058393,0.084738849,1.669322012,-0.020172049,1.212347223,-1.11626325,3.089041468,3.901369077,2.613288933,-1.978811005,2.971920683,-1.100326336,-0.100997541,3.318454419,2.389898089
141,0.281686668,-0.096513055,0.064900809,-0.753501438,-0.267328842,-1.054246385,0.657398315,0.453391873,-1.069416985,-1.317474037,0.184506244,-1.149932813,0.560986658,0.04626476,-0.029702616,-0.424602536,-0.686678901,-1.298161936,0.523257901,-1.419340721,1.615830787,0.860954232,-1.193748993,-1.158682387
144,-0.791217816,-0.97555378,-1.10374645,0,0.190899845,1.312681742,-1.295988339,1.024654473,1.552431908,1.374624637,0.297947827,0.596082024,-0.310012843,-0.992971801,-2.359363019,1.48638159,1.126193628,-0.219811031,0.429666008,1.277012302,-1.169246573,-0.687211687,1.56776701,1.597778007
158,-1.386934166,-0.557567955,-0.118337152,-0.324724169,-1.386934166,-1.386934166,-1.087316071,-1.386934166,-1.386934166,-1.386934166,0.782887404,-0.13554014,0.0797209,-0.743200215,0.580729791,-0.144702258,0.542983589,-1.386934166,-1.386934166,-1.386934166,-1.386934166,-0.009905158,-0.515128305,-1.386934166
171,0.510963522,0.375786388,0.312887242,-0.761132812,-0.322175209,-0.607476769,0.89172152,0.779296228,0.091843102,-0.368685185,0.218407668,-0.688610296,0.520602525,0.350131054,-0.048327071,-0.767724244,-1.026376208,-0.337478057,0.620893855,-0.622259736,0.892530105,0.903769884,-0.795296275,-0.219038529
172,-0.495248613,-0.360894621,-0.29876822,0.002610095,0.408136637,0.007667007,-0.401463851,-0.513026156,1.106321488,0.321185256,-0.145237181,-0.070440829,-0.682074175,-0.566717261,0.113388506,0.130922437,-0.253347802,0.45482679,-0.439906079,0.098303697,-0.976001495,-0.72348133,0.176985789,0.941818682
179,0.176227445,0.373415758,-0.026392007,-1.674396106,-0.365961117,-1.25428798,0.552376757,0.166166474,-1.151223248,-1.508355375,-0.088832642,-1.740905349,0.638407961,0.373023146,-0.175145119,-1.740905349,-1.740905349,-1.740905349,0.336700216,-1.225158893,0.565284056,0.754823178,-1.740905349,-0.887716394
180,0.090361294,-0.288260131,-0.077777031,-2.807913416,-1.17509862,0.349515644,-0.809154551,-0.708927746,-0.686643232,-1.248293582,0.210134811,-1.519036703,-0.18011617,0.280518567,0.169028745,-1.262695907,-1.774996662,-0.982851744,-0.998961223,0.674885056,-1.036213285,0.022038418,-1.66433911,0.479763718
181,-0.135233165,-0.267081295,-0.198908605,1.963390276,2.863975071,3.794296607,-0.102469587,-0.689180846,3.430474646,3.200203677,-0.139196532,2.876046621,-0.106521228,0.046589493,-0.517556126,2.614611122,2.216822942,2.957628507,-0.727268008,4.180683237,-0.265599597,-0.16688649,3.228530914,4.041332582
